run_key,tag,evals
main/cec2022_F05_D10/TFO-static/static/2,possession,6884
main/cec2022_F05_D10/TFO-static/static/2,pressing,69820
main/cec2022_F05_D10/TFO-static/static/2,counter_attack,45
main/cec2022_F05_D10/TFO-static/static/2,set_pieces,1100
main/cec2022_F05_D10/TFO-static/static/2,offside,0
main/cec2022_F05_D10/TFO-static/static/2,substitutions,0
main/cec2022_F05_D10/TFO-static/static/2,fatigue,0
main/cec2022_F05_D10/TFO-static/static/2,var_review,0
main/cec2022_F05_D10/TFO-static/static/2,manager,0
main/cec2022_F05_D10/TFO-static/static/2,neutral,0
main/cec2022_F05_D10/TFO/full/3,init,30
main/cec2022_F05_D10/TFO/full/3,sweeper_keeper,0
main/cec2022_F05_D10/TFO/full/3,zonal_centre_back,18092
main/cec2022_F05_D10/TFO/full/3,overlapping_wing_back,17805
main/cec2022_F05_D10/TFO/full/3,deep_lying_playmaker,13358
main/cec2022_F05_D10/TFO/full/3,box_to_box,26871
main/cec2022_F05_D10/TFO/full/3,destroyer,13564
main/cec2022_F05_D10/TFO/full/3,virtuoso,84016
main/cec2022_F05_D10/TFO/full/3,finisher,17800
main/cec2022_F05_D10/TFO/full/3,formation,0
main/cec2022_F05_D10/TFO/full/3,rotation,0
main/cec2022_F05_D10/TFO/full/3,possession,6064
main/cec2022_F05_D10/TFO/full/3,pressing,1131
main/cec2022_F05_D10/TFO/full/3,counter_attack,270
main/cec2022_F05_D10/TFO/full/3,set_pieces,998
main/cec2022_F05_D10/TFO/full/3,offside,0
main/cec2022_F05_D10/TFO/full/3,substitutions,1
main/cec2022_F05_D10/TFO/full/3,fatigue,0
main/cec2022_F05_D10/TFO/full/3,var_review,0
main/cec2022_F05_D10/TFO/full/3,manager,0
main/cec2022_F05_D10/TFO/full/3,neutral,0
main/cec2022_F05_D10/TFO-static/static/3,init,30
main/cec2022_F05_D10/TFO-static/static/3,sweeper_keeper,0
main/cec2022_F05_D10/TFO-static/static/3,zonal_centre_back,19356
main/cec2022_F05_D10/TFO-static/static/3,overlapping_wing_back,9866
main/cec2022_F05_D10/TFO-static/static/3,deep_lying_playmaker,879
main/cec2022_F05_D10/TFO-static/static/3,box_to_box,15288
main/cec2022_F05_D10/TFO-static/static/3,destroyer,8145
main/cec2022_F05_D10/TFO-static/static/3,virtuoso,70360
main/cec2022_F05_D10/TFO-static/static/3,finisher,529
main/cec2022_F05_D10/TFO-static/static/3,formation,0
main/cec2022_F05_D10/TFO-static/static/3,rotation,0
main/cec2022_F05_D10/TFO-static/static/3,possession,6631
main/cec2022_F05_D10/TFO-static/static/3,pressing,67579
main/cec2022_F05_D10/TFO-static/static/3,counter_attack,270
